timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1560781644072,enter,e4869,,sprint,,mobile
1560781788536,quit,e4869,,sprint,,mobile
1560781788578,enter,e4869,,sprint,,mobile
1560781806124,quit,e4869,,sprint,,mobile
1560781806159,enter,e4869,,sprint,,mobile
1560781888460,quit,e4869,,sprint,,mobile
1560781888499,enter,e4869,,sprint,,mobile
1560781896643,quit,e4869,,sprint,,mobile
1560781902204,enter,e4869,,sprint,,mobile
1560781917429,quit,e4869,,sprint,,mobile
1560825418014,enter,b5474,,tutor,,mobile
1560825419685,respond,q7886,,tutor,b,mobile
1560825420475,respond,q7886,,tutor,c,mobile
1560825423479,erase_choice,q7886,,tutor,d,mobile
1560825424868,respond,q7886,,tutor,d,mobile
1560825432788,submit,b5474,,tutor,,mobile
1560848174742,enter,b1426,,tutor,,mobile
1560848197428,play_audio,b1426,0,tutor,,mobile
1560848261143,pause_audio,b1426,65958,tutor,,mobile
1560848273444,respond,q1476,,tutor,d,mobile
1560848279986,submit,b1426,,tutor,,mobile
1560848280056,enter,e1426,,tutor,,mobile
1560848883300,quit,e1426,,tutor,,mobile
1560858822689,enter,b5503,,sprint,,mobile
1560858832235,respond,q7983,,sprint,b,mobile
1560858837654,submit,b5503,,sprint,,mobile
1560858837753,enter,e5503,,sprint,,mobile
1560858850444,quit,e5503,,sprint,,mobile
1560858859444,enter,e5299,,sprint,,mobile
1560858878503,quit,e5299,,sprint,,mobile
1560858887955,enter,e5684,,sprint,,mobile
1560858901457,quit,e5684,,sprint,,mobile
1560858990281,enter,e5398,,sprint,,mobile
1560858996778,quit,e5398,,sprint,,mobile
1560859005312,enter,e5282,,sprint,,mobile
1560859013489,quit,e5282,,sprint,,mobile
1560859020280,enter,e5475,,sprint,,mobile
1560859028690,quit,e5475,,sprint,,mobile
1560859037092,enter,e5391,,sprint,,mobile
1560859046697,quit,e5391,,sprint,,mobile
1560859060697,enter,e5367,,sprint,,mobile
1560859071404,quit,e5367,,sprint,,mobile
1560859078106,enter,e5362,,sprint,,mobile
1560859095646,quit,e5362,,sprint,,mobile
1560859100410,enter,e5359,,sprint,,mobile
1560859110559,quit,e5359,,sprint,,mobile
1560859131216,enter,e1426,,tutor,,mobile
1560859200141,quit,e1426,,tutor,,mobile
1560859207917,enter,e921,,tutor,,mobile
1560859213814,quit,e921,,tutor,,mobile
1560859220226,enter,e8270,,tutor,,mobile
1560859229767,quit,e8270,,tutor,,mobile
1560859235538,enter,e4046,,tutor,,mobile
1560859244761,quit,e4046,,tutor,,mobile
1560859256015,enter,e5259,,tutor,,mobile
1560859270241,quit,e5259,,tutor,,mobile
1560859281312,enter,e5709,,tutor,,mobile
1560859293279,quit,e5709,,tutor,,mobile
1560859300438,enter,e8527,,tutor,,mobile
1560859308332,quit,e8527,,tutor,,mobile
1560859315383,enter,e1538,,tutor,,mobile
1560859321632,quit,e1538,,tutor,,mobile
1560859327931,enter,e618,,tutor,,mobile
1560859335465,quit,e618,,tutor,,mobile
1560859340260,enter,e5888,,tutor,,mobile
1560859367420,quit,e5888,,tutor,,mobile
1560859367501,enter,b1441,,tutor,,mobile
1560859373841,respond,q1521,,tutor,a,mobile
1560859376351,respond,q1521,,tutor,a,mobile
1560859378559,respond,q1521,,tutor,a,mobile
