timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1566908000,enter,b901,,diagnosis,,mobile
1566908002,play_audio,b901,0,diagnosis,,mobile
1566908006,pause_audio,b901,4000,diagnosis,,mobile
1566908007,respond,q901,,diagnosis,d,mobile
1566908008,submit,b901,,diagnosis,,mobile
1566908010,enter,b902,,diagnosis,,mobile
1566908011,respond,q902,,diagnosis,a,mobile
1566908012,submit,b902,,diagnosis,,mobile
1566908014,enter,b903,,diagnosis,,mobile
1566908015,respond,q903,,diagnosis,c,mobile
1566908016,submit,b903,,diagnosis,,mobile
