timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1566903000,enter,b401,,diagnosis,,mobile
1566903003,play_audio,b401,,diagnosis,,mobile
1566903008,pause_audio,b401,,diagnosis,,mobile
1566903009,respond,q401,,diagnosis,,mobile
1566903010,submit,b401,,diagnosis,,mobile
1566903013,enter,b402,,diagnosis,,mobile
1566903014,respond,q402,,diagnosis,b,mobile
1566903015,submit,b402,,diagnosis,,mobile
1566903018,enter,b403,,diagnosis,,mobile
1566903019,respond,q403,,diagnosis,a,mobile
1566903020,submit,b403,,diagnosis,,mobile
1566903020,enter,b405,,diagnosis,,mobile
1566903020,respond,b405,,diagnosis,c,mobile
1566903020,submit,b405,,diagnosis,,mobile
