timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1562318381259,enter,e686,,adaptive_offer,,web
1562318392941,quit,e686,,adaptive_offer,,web
1562318395880,enter,b200,,adaptive_offer,,web
1562318396038,play_audio,b200,0,adaptive_offer,,web
1562318408294,erase_choice,q200,,adaptive_offer,b,web
1562318411274,respond,q200,,adaptive_offer,a,web
1562318411800,pause_audio,b200,15568,adaptive_offer,,web
1562318412138,submit,b200,,adaptive_offer,,web
1562318414747,enter,e200,,adaptive_offer,,web
1562318418629,play_audio,b200,0,adaptive_offer,,web
1562318423040,pause_audio,b200,3959,adaptive_offer,,web
1562318424346,play_audio,b200,3959,adaptive_offer,,web
1562318425522,pause_audio,b200,5421,adaptive_offer,,web
1562318425760,play_audio,b200,934,adaptive_offer,,web
1562318428660,pause_audio,b200,3462,adaptive_offer,,web
1562318428919,play_audio,b200,934,adaptive_offer,,web
1562318432073,pause_audio,b200,3979,adaptive_offer,,web
1562318432339,play_audio,b200,934,adaptive_offer,,web
1562318433955,pause_audio,b200,2426,adaptive_offer,,web
1562318434203,play_audio,b200,934,adaptive_offer,,web
1562318448747,pause_audio,b200,15568,adaptive_offer,,web
1562318453457,quit,e200,,adaptive_offer,,web
1562318465387,enter,l453,,adaptive_offer,,web
1562318469357,play_video,l453,19,adaptive_offer,,web
1562318600788,pause_video,l453,131293,adaptive_offer,,web
1562318600788,quit,l453,,adaptive_offer,,web
1562318612014,enter,e200,,adaptive_offer,,web
1562318613300,play_video,l453,131356,adaptive_offer,,web
1562318652465,pause_video,l453,170434,adaptive_offer,,web
1562318654543,quit,e200,,adaptive_offer,,web
1562318657572,enter,b892,,adaptive_offer,,web
1562318657629,play_audio,b892,15568,adaptive_offer,,web
1562318667650,erase_choice,q892,,adaptive_offer,a,web
1562318671426,respond,q892,,adaptive_offer,c,web
1562318671427,erase_choice,q892,,adaptive_offer,b,web
1562318674881,pause_audio,b892,16979,adaptive_offer,,web
1562318675151,submit,b892,,adaptive_offer,,web
1562318677887,enter,e892,,adaptive_offer,,web
1562318687487,quit,e892,,adaptive_offer,,web
1562318690361,enter,b200,,adaptive_offer,,web
1562318690377,play_audio,b200,0,adaptive_offer,,web
1562318702351,respond,q200,,adaptive_offer,c,web
1562318702946,erase_choice,q200,,adaptive_offer,b,web
1562318706090,pause_audio,b200,15568,adaptive_offer,,web
1562318706592,submit,b200,,adaptive_offer,,web
1562318709661,enter,e200,,adaptive_offer,,web
1562318731110,quit,e200,,adaptive_offer,,web
1562318737978,enter,b1300,,sprint,,web
1562318738130,play_audio,b1300,0,sprint,,web
1562318747586,erase_choice,q1300,,sprint,a,web
1562318750214,respond,q1300,,sprint,b,web
1562318753643,pause_audio,b1300,15281,sprint,,web
1562318754774,submit,b1300,,sprint,,web
1562318755996,enter,e1300,,sprint,,web
1562318759032,quit,e1300,,sprint,,web
1562318760825,enter,b1275,,sprint,,web
1562318760863,play_audio,b1275,0,sprint,,web
1562318771561,erase_choice,q1275,,sprint,a,web
1562318776912,pause_audio,b1275,15908,sprint,,web
1562318776926,respond,q1275,,sprint,c,web
1562318777989,submit,b1275,,sprint,,web
1562318778926,enter,e1275,,sprint,,web
1562318781553,quit,e1275,,sprint,,web
1562319044515,enter,e1275,,sprint,,web
1562319371139,quit,e1275,,sprint,,web
1562319372951,enter,b822,,sprint,,web
1562319372998,play_audio,b822,0,sprint,,web
1562319382841,erase_choice,q822,,sprint,a,web
1562319390788,pause_audio,b822,17528,sprint,,web
1562319393431,respond,q822,,sprint,b,web
1562319394295,submit,b822,,sprint,,web
1562319395750,enter,e822,,sprint,,web
1562319398738,play_audio,b822,0,sprint,,web
1562319416276,pause_audio,b822,17528,sprint,,web
1562319421900,play_audio,b822,17528,sprint,,web
1562319438771,pause_audio,b822,16616,sprint,,web
1562319438997,play_audio,b822,11919,sprint,,web
1562319439965,pause_audio,b822,12935,sprint,,web
1562319440178,play_audio,b822,10867,sprint,,web
1562319442959,pause_audio,b822,13407,sprint,,web
1562319443196,play_audio,b822,10867,sprint,,web
1562319445545,pause_audio,b822,12899,sprint,,web
1562319477670,quit,e822,,sprint,,web
1562319479601,enter,b240,,sprint,,web
1562319479641,play_audio,b240,12899,sprint,,web
1562319497755,pause_audio,b240,17946,sprint,,web
1562319499087,respond,q240,,sprint,c,web
1562319499894,submit,b240,,sprint,,web
1562319501244,enter,e240,,sprint,,web
1562319503398,play_audio,b240,0,sprint,,web
1562319509257,pause_audio,b240,5421,sprint,,web
1562319510963,play_audio,b240,1435,sprint,,web
1562319514951,pause_audio,b240,5507,sprint,,web
1562319515195,play_audio,b240,1256,sprint,,web
1562319519256,pause_audio,b240,4925,sprint,,web
1562319519531,play_audio,b240,1256,sprint,,web
1562319521766,pause_audio,b240,3398,sprint,,web
1562319522027,play_audio,b240,1256,sprint,,web
1562319524175,pause_audio,b240,3390,sprint,,web
1562319524411,play_audio,b240,1256,sprint,,web
1562319528616,pause_audio,b240,5433,sprint,,web
1562319573504,play_audio,b240,5433,sprint,,web
1562319574238,pause_audio,b240,6051,sprint,,web
1562319574459,play_audio,b240,1435,sprint,,web
1562319583812,pause_audio,b240,10546,sprint,,web
1562319584040,play_audio,b240,6819,sprint,,web
1562319586949,pause_audio,b240,9370,sprint,,web
1562319587146,play_audio,b240,6998,sprint,,web
1562319593549,pause_audio,b240,13102,sprint,,web
1562319593763,play_audio,b240,10588,sprint,,web
1562319597031,pause_audio,b240,13635,sprint,,web
1562319597236,play_audio,b240,10588,sprint,,web
1562319603292,pause_audio,b240,16683,sprint,,web
1562319603530,play_audio,b240,8255,sprint,,web
1562319612941,pause_audio,b240,17406,sprint,,web
1562319613161,play_audio,b240,15433,sprint,,web
1562319615446,pause_audio,b240,17465,sprint,,web
1562319615692,play_audio,b240,15433,sprint,,web
1562319617509,pause_audio,b240,16969,sprint,,web
1562319617509,quit,e240,,sprint,,web
1562319618950,enter,b1354,,sprint,,web
1562319618989,play_audio,b1354,16969,sprint,,web
1562319632413,respond,q1354,,sprint,a,web
1562319635302,pause_audio,b1354,16140,sprint,,web
1562319635909,erase_choice,q1354,,sprint,c,web
1562319637044,submit,b1354,,sprint,,web
1562319637987,enter,e1354,,sprint,,web
1562319640868,play_audio,b1354,0,sprint,,web
1562319644758,pause_audio,b1354,3871,sprint,,web
1562319645010,play_audio,b1354,1775,sprint,,web
1562319647164,pause_audio,b1354,3795,sprint,,web
1562319647411,play_audio,b1354,1775,sprint,,web
1562319655165,pause_audio,b1354,9403,sprint,,web
